,Car,Company,fuel,seller_type,transmission,owner,year,km_driven,mileage,engine_cc,max_power_bhp,seats
644,Volkswagen Polo Diesel,Volkswagen,Diesel,Individual,Manual,Second Owner,2012.0,80000.0,22.07,1199.0,73.9,5.0
645,Volkswagen Polo GT,Volkswagen,Diesel,Individual,Manual,Second Owner,2013.5,74500.0,17.205,1397.5,103.6,5.0
646,Volkswagen Polo Petrol,Volkswagen,Petrol,Individual,Manual,First Owner,2012.0,59122.5,16.47,1198.0,73.9,5.0
647,Volkswagen Polo Select,Volkswagen,Diesel,Individual,Manual,First Owner,2013.0,47250.0,18.305,1348.0,81.35,5.0
648,Volkswagen Vento 1.5,Volkswagen,Diesel,Individual,Automatic,First Owner,2016.0,74000.0,22.15,1498.0,108.6,5.0
649,Volkswagen Vento 1.6,Volkswagen,Petrol,Individual,Manual,Second Owner,2014.0,70000.0,15.04,1598.0,103.2,5.0
650,Volkswagen Vento Diesel,Volkswagen,Diesel,Individual,Manual,Second Owner,2011.0,100000.0,20.54,1598.0,103.6,5.0
651,Volkswagen Vento IPL,Volkswagen,Diesel,Individual,Manual,Second Owner,2011.0,66000.0,20.5,1598.0,105.0,5.0
652,Volkswagen Vento Konekt,Volkswagen,Diesel,Individual,Manual,First Owner,2014.0,90000.0,20.54,1598.0,103.6,5.0
653,Volkswagen Vento Petrol,Volkswagen,Petrol,Individual,Manual,Second Owner,2011.0,60000.0,15.04,1598.0,103.6,5.0
654,Volvo S60 D4,Volvo,Diesel,Dealer,Automatic,First Owner,2015.0,39000.0,9.0,1984.0,181.0,5.0
655,Volvo S90 D4,Volvo,Diesel,Individual,Automatic,First Owner,2019.0,17000.0,18.0,1969.0,190.0,5.0
656,Volvo V40 Cross,Volvo,Diesel,Individual,Automatic,Second Owner,2013.0,72500.0,23.3,1984.0,150.0,5.0
657,Volvo V40 D3,Volvo,Diesel,Dealer,Automatic,First Owner,2018.0,2000.0,16.8,1984.0,150.0,5.0
658,Volvo XC40 D4,Volvo,Diesel,Individual,Automatic,First Owner,2019.0,20000.0,18.0,1969.0,190.0,5.0
659,Volvo XC60 Inscription,Volvo,Diesel,Individual,Automatic,First Owner,2018.0,50000.0,11.2,1969.0,235.0,5.0
660,Volvo XC90 T8,Volvo,Petrol,Individual,Automatic,First Owner,2017.0,30000.0,42.0,1969.0,400.0,4.0
